QA output created by 1989

pcp-slabinfo output : Display default output
Linux  5.4.17-2136.317.5.3.el8uek.x86_64  (localhost.localdomain)  08/02/23  x86_64    (4 CPU)
TimeStamp         Name                               active_objs         num_objs         objsize byte         objperslab         pagesperslab         active_slabs         num_slabs
10:25:23          khugepaged_mm_slot                       144                144                112                36                   1                  4                  4
10:25:23          kioctx                                    92                 92                704                23                   4                  4                  4
10:25:23          kmalloc-128                             5748               5856                128                32                   1                183                183
10:25:23          kmalloc-16                            301056             301056                 16               256                   1               1176               1176
10:25:23          kmalloc-192                            26187              26187                192                21                   1               1247               1247
10:25:23          kmalloc-1k                              4055               4352               1024                16                   4                272                272
10:25:23          kmalloc-256                            15322              15376                256                16                   1                961                961
10:25:23          kmalloc-2k                               697                768               2048                16                   8                 48                 48
10:25:23          kmalloc-32                            324323             326144                 32               128                   1               2548               2548
10:25:23          kmalloc-4k                              1664               1728               4096                 8                   8                216                216
10:25:23          kmalloc-512                             4200               8144                512                16                   2                509                509
10:25:23          kmalloc-64                            306657             307328                 64                64                   1               4802               4802
10:25:23          kmalloc-8                             424448             424448                  8               512                   1                829                829
10:25:23          kmalloc-8k                                69                 84               8192                 4                   8                 21                 21
10:25:23          kmalloc-96                              6342               6342                 96                42                   1                151                151
10:25:23          kmalloc-rcl-128                         2848               2848                128                32                   1                 89                 89
10:25:23          kmalloc-rcl-16                             0                  0                 16               256                   1                  0                  0
10:25:23          kmalloc-rcl-192                         1554               1554                192                21                   1                 74                 74
10:25:23          kmalloc-rcl-1k                             0                  0               1024                16                   4                  0                  0
10:25:23          kmalloc-rcl-256                          224                224                256                16                   1                 14                 14
10:25:23          kmalloc-rcl-2k                             0                  0               2048                16                   8                  0                  0
10:25:23          kmalloc-rcl-32                             0                  0                 32               128                   1                  0                  0
10:25:23          kmalloc-rcl-4k                             0                  0               4096                 8                   8                  0                  0
10:25:23          kmalloc-rcl-512                           64                 64                512                16                   2                  4                  4
10:25:23          kmalloc-rcl-64                         11648              11648                 64                64                   1                182                182
10:25:23          kmalloc-rcl-8                              0                  0                  8               512                   1                  0                  0
10:25:23          kmalloc-rcl-8k                             0                  0               8192                 4                   8                  0                  0
10:25:23          kmalloc-rcl-96                          5334               5334                 96                42                   1                127                127
10:25:23          kmem_cache                               176                176                512                16                   2                 11                 11
10:25:23          kmem_cache_node                          256                256                 64                64                   1                  4                  4
10:25:23          lsm_file_cache                         12032              12032                 16               256                   1                 47                 47
10:25:23          mm_struct                                224                224               1152                28                   8                  8                  8
10:25:23          mnt_cache                               1500               1500                320                25                   2                 60                 60
10:25:23          mqueue_inode_cache                        17                 17                960                17                   4                  1                  1
10:25:23          names_cache                               56                 56               4096                 8                   8                  7                  7
10:25:23          net_namespace                             12                 12               5312                 6                   8                  2                  2
10:25:23          nf_conntrack                             225                225                320                25                   2                  9                  9
10:25:23          nf_conntrack_expect                        0                  0                248                16                   1                  0                  0
10:25:23          numa_policy                               31                 31                264                31                   2                  1                  1
10:25:23          pde_opener                               408                408                 40               102                   1                  4                  4
10:25:23          pid                                      992                992                128                32                   1                 31                 31
10:25:23          pid_namespace                              0                  0                240                17                   1                  0                  0
10:25:23          PINGv6                                     0                  0               1344                24                   8                  0                  0
10:25:23          pool_workqueue                           640                640                256                16                   1                 40                 40
10:25:23          proc_dir_entry                           819                819                192                21                   1                 39                 39
10:25:23          proc_inode_cache                       10450              10902                712                23                   4                474                474
10:25:23          radix_tree_node                        30352              30352                584                28                   4               1084               1084
10:25:23          RAW                                       84                 84               1152                28                   8                  3                  3
10:25:23          RAWv6                                     72                 72               1344                24                   8                  3                  3
10:25:23          request_queue                             39                 39               2488                13                   8                  3                  3
10:25:23          request_sock_TCP                           0                  0                336                24                   2                  0                  0
10:25:23          request_sock_TCPv6                         0                  0                336                24                   2                  0                  0
10:25:23          rpc_inode_cache                           23                 23                704                23                   4                  1                  1
10:25:23          scsi_sense_cache                         160                160                128                32                   1                  5                  5
10:25:23          search                                     0                  0                680                24                   4                  0                  0
10:25:23          shmem_inode_cache                       1533               1533                752                21                   4                 73                 73
10:25:23          sighand_cache                            338                360               2112                15                   8                 24                 24
